Method A,Method B,Mean,Difference,Diff-Mean Proportion
1,8,4.5,-7,-155.60%
5,16,10.5,-11,-104.80%
10,30,20,-20,-100.00%
20,24,22,-4,-18.20%
50,39,44.5,11,24.70%
40,54,47,-14,-29.80%
50,40,45,10,22.20%
60,68,64,-8,-12.50%
70,72,71,-2,-2.80%
80,62,71,18,25.40%
90,122,106,-32,-30.20%
100,80,90,20,22.20%
150,181,165.5,-31,-18.70%
200,259,229.5,-59,-25.70%
250,275,262.5,-25,-9.50%
300,380,340,-80,-23.50%
350,320,335,30,9.00%
400,434,417,-34,-8.20%
450,479,464.5,-29,-6.20%
500,587,543.5,-87,-16.00%
550,626,588,-76,-12.90%
600,648,624,-48,-7.70%
650,738,694,-88,-12.70%
700,766,733,-66,-9.00%
750,793,771.5,-43,-5.60%
800,851,825.5,-51,-6.20%
850,871,860.5,-21,-2.40%
900,957,928.5,-57,-6.10%
950,1001,975.5,-51,-5.20%
1000,960,980,40,4.10%
